Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Šeškinės seniūnija,BVPŽ kodas 45420000-7,336,"2012-12-04 sutartis Nr. A62-165 (3.10.21-FN4) UAB ""Verslo transformacija""",9997.87,Informacinių stendų gamyba ir įrengimas,"UAB ""Restovė ir Ko"", UAB ""Verslo transformacija"", UAB ""Šilėja"""
Žirmūnų seniūnija,BVPŽ kodas 37400000-2,337-1,"2012-12-20 PVM sąskaita faktūra Nr. BPB12160 UAB ""Baltijos paslaugų brokeris""",9791.8,Šiaurietiškos ėjimo lazdos,"UAB ""Sporto fėja"", IĮ Girus, UAB ""Baltijos paslaugų  brokeris"""
Žirmūnų seniūnija,BVPŽ kodas 63511000-4,337-2,"2012-12-04 sutartis Nr. A64-179 (3.10.22-FN4) UAB ""Kelionių laikas""",9967.82,Turistinės kelionės organizavimas,"UAB ""Estravel"", UAB ""Vildora"", UAB ""Kelionių laikas"""
Žirmūnų seniūnija,BVPŽ kodas 33196200-2,337-3,"2012-12-13 sutartis Nr. A68-45 (3.10.23-FN4) UAB ""Teida""",10000,Įrenginiai neįgaliesiems,"UAB ""Euroatletas"", UAB ""Ortopedijos centras"", UAB TEIDA"
Žirmūnų seniūnija,BVPŽ kodas 30200000-1,337-4,"2012-12-18 sutartis Nr. A68-47 (3.10.23-FN4) UAB ""IT GAMA""",9089.52,Kompiuterinė įranga,"UAB ""IMK LT"", UAB ""Varle"", UAB ""It gama"""
Pašilaičių seniūnija,BVPŽ kodas 37400000-2,338,"2012-11-29 PVM sąskaita faktūra Nr. PaSt7228483 UAB ""Pažangi statyba""",9998.96,Sporto prekės ir reikmenys,"UAB ""Domipa"", UAB ""Ismonys"", UAB ""Pažangi statyba"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45315100-9,339,"2012-12-11 sutartis Nr. A62-169 (3.10.21-FN4) UAB ""Švenčių studija""",19989.2,Savivaldybės administracijos pastato (Konstitucijos per. 3) ŠV. Kalėdų šventinių papuošimų darbai,"VšĮ Oreivystės centras, UAB ""Švenčių studija"", UAB ""Ekspobalta"""
Pašilaičių seniūnija,BVPŽ kodas 32330000-5,340,"2012-12-04 PVM sąskaita faktūra Nr. EDOR0848 UAB ""Edoro""",2220,Vaizdo kamera,"UAB ""Edoro"", UAB ""Varle"", UAB ""Fotofabrikas"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45451100-4,341,2013-01-22 sutartis Nr. A62-2 (3.10.21-UK) VšĮ Vizualinių komunikacijų studija,19900,"Šventinio miesto papuošimo Vasario 16-osios, Kovo 11-osios, Mindaugo karūnavimo ir kitomis progomis darbai","Všį Vizualinių komunikacijų studija, UAB ""Reklamos klasės grupė"", VšĮ Dizaino artelė"
Ekonomikos ir investicijų departamentas,15 paslaugų kategorija BVPŽ kodas 79800000-2,342,"2012-12-10 sutartis Nr. A64-183 (3.10.22-EK) UAB ""Juoda raidė""",8189.28,Reklaminių plakatų pagaminimas privatizuojamų objektų sąrašui paskelbti,"UAB ""Juoda raidė"", UAB ""Vizart"", UAB ""Lodvila"""
Ekonomikos ir investicijų departamentas,15 paslaugų kategorija BVPŽ kodas 79800000-2,343,"2012-12-10 sutartis Nr. A64-182 (3.10.22-EK) UAB ""Lietuvos žinios""",9922,Spausdinimo paslaugos privatizuojamų objektų sąrašams paskelbti respublikiniame spaudinyje,"UAB ""Lietuvos rytas"", UAB ""Respublikos leidiniai"", UAB ""Lietuvos žinios"""
Panerių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,344,"2012-12-19 sutartis Nr. A64-195 (3.10.22-FN4) UAB ""Stebulė""",9898,Panerių seniūnijos bendruomenės kultūrinio renginio techninis aprūpinimas ir įgarsinimas,"UAB ""Stebulė"", UAB ""Lentvario komunalinis ūkis"", UAB ""Grinda"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,345,2012-11-30 PVM sąskaita faktūra Nr. EMC 120540 UAB Ekonomikos mokymo centras,1800,"Kursai archyvarams ir darbuotojams, atsakingiems už bylų apskaitos tvarkymą",UAB Ekonomikos mokymo centras
"Švietimo, kultūros ir sporto departamento Kultūros syrius",8 paslaugų kategorija BVPŽ kodas 73120000-9,346,,9600,Kultūros rėmimo programų projektų konkurso paraiškų vertinimas (ekspertų paslaugos),
Karoliniškių seniūnija,BVPŽ kodas 32342410-9,347,"2012-12-10 sutartis Nr. A68-40 (3.10.23-FN4) UAB ""Tamsta""",9700,Įgarsinimo aparatūra,"UAB ""Tamsta"", UAB ""Muzika visiems"". UAB ""Vilgra"", UAB ""Kauno muzika"""
Karoliniškių seniūnija,BVPŽ kodas 32323300-6,348,"2012-12-20 sutartis Nr. A68-48 (3.10.23-FN4) UAB ""Ogmios pulsas pro""",9118,Vaizdo aparatūra,"UAB ""Ogmios pulsas pro"", UAB ""Anno Domini"", UAB ""Mart pro"""
Verkių seniūnija,2 paslaugų kategorija BVPŽ kodas 60100000-9,349,"2012-12-12 sutartis Nr. A62-170 (3.10.22-FN4) UAB ""Alvora""",4029.84,"Verkių seniūnijos kalėdinės eglės transportavimas, pastatymas ir puošimas","UAB ""Alvora"", UAB ""Stebulė"", UAB ""Verkių būstas"""
Verkių seniūnija,BVPŽ kodas 15842000-2,350,"2012-12-06 PVM sąskaita faktūra Nr. LKI 009224 UAB ""Lukre""",6967.18,Verkių seniūnijos kalėdinės dovanėlės ir saldumynai,"M. Gumbrevičiaus PPĮ ""Gelsva"", UAB ""Lukre"", UAB ""MAXIMA LT"""
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,351,"2012-12-12 sutartis Nr. A64-191 (3.10.22-FN4) Asociacija ""Baltupių savivaldos centras CEDRONAS""",2904,Verkių seniūnijos kalėdinės šventės organizavimo paslaugos,"Asociacija ""Baltupių savivaldos centras CEDRONAS"", Asociacija ""Jeruzalės bendruomenės centras"", Labdaros ir paramos fondas ""AMUS"""
Antakalnio seniūnija,BVPŽ kodas 44510000-8,352,"2012-12-21 PVM sąskaita faktūra Nr. SF-V03 002732 AB ""Vilniaus Lytagra""",8469,Prekės Antakalnio bendruomenės aplinkos gerbūvio veiklai gerinti,"AB ""Vilniaus Lytagra"", AB ""ST Baltic"", UAB ""RM Tools"""
Antakalnio seniūnija,BVPŽ kodas 32342410-9,353,"2012-12-20 PVM sąskaita faktūra Nr. VMF0007746 UAB ""Muzikos faktorius""",6253.99,Įgarsinimo technikos pirkimas,"UAB ""Muzikos faktorius"", UAB ""Megatonas"", Ž. Barono įmonė ""Muzikinis rūsys"""
Antakalnio seniūnija,BVPŽ kodas 37310000-4,354,"2012-12-20 PVM sąskaita faktūra Nr. ASI 20122939 UAB ""Tamsta""",6530,Etnografinio ansamblio muzikos instrumentų įsigijimas,"UAB ""Tamsta"", UAB ""Vilgra"", UAB ""Kauno muzika"""
Antakalnio seniūnija,BVPŽ kodas 39500000-7,355,"2012-12-20 PVM sąskaita faktūra Nr. ABI 010476 UAB ""Abina""",5594.2,Medžiagų įsigijimas tautodailinei veiklai,"UAB ""Meno mūza"", UAB ""Art Inn"", UAB ""Abina"""
Antakalnio seniūnija,BVPŽ kodas 18530000-3,356,"2012-12-19 PVM sąskaita faktūra Nr. JG 04753 UAB ""JG reklamos dovanos""",6004.5,Suvenyrų įsigijimas bendruomenės veiklai,"UAB ""JG reklamos dovanos"", UAB ""Propeller"", UAB ""Ikstrys"""
Rasų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,357,"2012-12-11 sutartis Nr. A64-187 (3.10.22-FN4) VšĮ ""Mes-jėga""",4195,Rasų seniūnijos Šv. Kalėdų renginio techninis aprūpinimas ir apšvietimas,"VšĮ ""Šėlsmo diena"", Audio paslaugų įmonė ""Tamsta"", VšĮ ""Mes-Jėga"""
Antakalnio seniūnija,21 paslaugų kategorija BVPŽ kodas 74111100-1,358,"2012-12-21 sąskaita už teisines paslaugas, Lietuvos advokatūra Jolita Vilututytė",4980,Teisinio konsultavimo paslaugos,"Advokatė Alma Ramanauskienė, Advokatė Svetlana Brencienė, Vilniaus antroji advokatų kontora advokatė Jolita Vilutytė"
Antakalnio seniūnija,13 paslaugų kategorija BVPŽ kodas 79341000-6,359,"2012-12-21 sutartis Nr. A64-203 (3.10.22-FN4) UAB ""Media Traffic""",3999,Reklaminių plotų nuoma,"Reklamos agentūra mr, Všį ""Vizualinių komunikacijų studija"", UAB ""Media traffic"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,360,"2012-12-06 PVM sąskaita faktūra Nr. MCD 007848 VšĮ Valstybės ir savivaldybės tarnautojų mokymo centras ""Dainava""",1980,Seminaras seniūnijų darbuotojams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,361,"2012-12-13 PVM sąskaita faktūra Nr. ERA 219 UAB ""Žinių era""",4356,"Teritorijų planavimo, statybos ir žemės teisinius santykius reglamentuojančių teisės aktų bei praktikos naujovės ir aktualijos","UAB ""Žinių era"""
Užsienio ryšių skyrius,BVPŽ kodas 18420000-9,362,"2012-12-20 PVM sąskaita faktūra Nr. KVA 2012/0128 UAB ""Kvarkas""",9901.2,Šalikas,"UAB ""Ant Vilniaus aušra"", UAB ""Vilniaus kailiai"", UAB ""Kvarkas"""
Finansų departamentas,24 paslaugų kategorija BVPŽ kodas 80511000-9,362-1,"2012-12-28 sutartis Nr. A64-204 (3.10.22-FN4) UAB ""Affecto Lietuva""",9975,Darbuotojų mokymo paslaugos,"UAB ""Afecto Lietuva"""
Užsienio ryšių skyrius,BVPŽ kodas 19231000-4,363,"2012-12-20 PVM sąskaita faktūra Nr. KVA 2012/0127 UAB ""Kvarkas""",8704.8,Lininis šalikėlis,"UAB ""Ant Vilniaus aušra"", UAB ""Vilniaus kailiai"", UAB ""Kvarkas"""
E. miesto departamentas,BVPŽ kodas 22200000-2,364,"2012-12-28 sutartis Nr. A68-54 (3.10.23-FN4) AB ""Lietuvos paštas""",40000,Vilniaus miesto savivaldybės administracijos laikraščių ir žurnalų prenumerata 2013 metams,"AB ""Lietuvos paštas"""
Socialinių reikalų ir sveikatos departamentas,BVPŽ kodas 30210000-4,365,"2013-01-22 sutartis Nr. A68-5 (3.10.23-SR) UAB ""Akis Technologies""",9514.23,Eilę kontroliuojanti įranga,"UAB ""Akis Technologies"", UAB ""Informacijos tiltas"", UAB ""B.G.M"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421141-4,366,"Gautas tarnybinis raštas, kad pirkimas nebuvo vykdomas",,Modulinių pertvarų montavimas,
Šnipiškių seniūnija,BVPŽ kodas 22120000-7,367,"2012-12-20 PVM sąskaita faktūra Nr. VG 10921 UAB ""Vagos prekyba"" ",4109.88,Suvenyrų ir knygų pirkimas,"UAB ""Vagos prekyba"", UAB ""ALG knygynai"", UAB ""Vilniaus centrinis knygynas"""
Šnipiškių seniūnija,BVPŽ kodas 22120000-7,367A,2012-12-28 PVM sąskaita faktūra Nr. TK-05 1014 VšĮ Vilniaus Gedimino technikos universitetas,798.81,Suvenyrų ir knygų pirkimas,"VGTU Knygynas Technika, UAB ""Vagos prekyba"", Uab ""Vilniaus centrinis knygynas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 30231300-0,368,NEĮVYKO,,Vaizdo sufleris,
Saugaus miesto departamentas,BVPŽ kodas 44424300-1,369,Neįvyko,,Atšvaitai,
