Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Ekonomikos ir investicijų departamentas,13 paslaugų kategorija BVPŽ kodas 79341000-6,349,"2013-12-09 sutartis Nr. A64-159(3.10.22-EK) UAB ""Lietuvos žinios""","  7,680.00 Lt ",Privatizuojamų objektų sąrašų paskelbimas respublikiniame spaudinyje,"UAB ""Lietuvos žinios"", UAB ""Respublikos leidiniai"", UAB ""Lietuvos rytas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,350,2013-12-04 PVM sąskaita faktūra Nr. MCD008851,"  1,580.00 Lt ",Seminaras juridinių skyrių ir viešųjų pirkimų skyrių specialistams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Saugaus miesto departamentas,1 paslaugų kategorija BVPŽ kodas 50413200-5,351,"2013-12-19 PVM sąskaita faktūra Nr. DEF12 0003916 UAB ""Deforus""",  110.00 Lt ,Gesintuvų Bavarija 6G-1 patikra Civilinės saugos skyriuje Dariaus ir Girėno g. 11 ir valstybės rezervo sandėliuose Nemenčinės kaime II,"UAB ""DeForus"", UAB ""Geslita"", UAB ""Koncepcija"""
Antakalnio seniūnija,BVPŽ kodas 32342300-5,352,"2013-12-17 PVM sąskaita-faktūra Nr. TPS010514 UAB ""Technologinių paslaugų sprendimai""","  2,800.00 Lt ",Bevielio mikrofono sistemos įsigijimas,"UAB ""Technologinių paslaugų sprendimai""; UAB Muzikos faktorius""; UAB ""Megafonas"""
Antakalnio seniūnija,BVPŽ kodas 39522530-1,353,2013-12-19 PVM sąskaita-faktūra Nr. SON001383 Stanislovo Česonio įmonė,"  1,421.11 Lt ",Palapinės įsigijimas,"Stanislovo Česonio įmonė; UAB ""Senukų prekybos centras""; UAB ""Tentas"""
Antakalnio seniūnija,BVPŽ kodas 45212140-9,354,"2013-12-20 PVM sąskaita-faktūra Nr. FAB 00012 UAB ""Fabergas""","  10,000.00 Lt ",Lauko treniruoklių Sapiegos parke įrengimas,"UAB ""Naujieji ženklai""; UAB ""Ugna""; UAB ""Fabergas"""
Antakalnio seniūnija,BVPŽ kodas 38651600-9,355,"2013-12-17 PVM sąskaita-faktūra Nr. MBLT13-12795 UAB ""Mano būstas""","  9,649.75 Lt ",Aukštos raiškos skaitmeninių kamerų įsigijimas,"UAB ""Mano būstas""; UAB Grifs AG""; IĮ ""Argus"""
Antakalnio seniūnija,BVPŽ kodas 39100000-3,356,2013-12-30 PVM Sąskaita-faktūra Nr.POS-13-012750 Felit UAB - IKEA,"  6,999.91 Lt ",Bendruomenės centrui baldų įsigijimas,"Felit UAB ""Ikea""; UAB ""Senukų prekybos centras""; UAB ""Baldų rojus"""
Antakalnio seniūnija,BVPŽ kodas 45421000-4,357,"2013-12-19 PVM sąskaita-faktūra Nr. Ačiū1312157 UAB ""Aštuonetas""","  6,599.34 Lt ",Informaciniai stendai ir lentelės,"UAB ""Aštuonetas""; UAB ""HC Cosmos""; UAB ""Lino kalvė"""
Verkių seniūnija,BVPŽ kodas 15800000-6,358,2013-12-12 PVM sąskaita faktūra Nr. ZIN0137,"  3,500.53 Lt ",Įvairūs maisto produktai,"G. Zinkevičienės personalinė įmonė, UAB ""Lukre"", UAB ""K. Šriupšos kavinė-baras"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45262640-9,359,Neįvyko,,"Keleivinio transporto stotelėse suolų įrengimo, išmontavimo ir suolų medinės dalies pakeitimo darbai",
Antakalnio seniūnija,BVPŽ kodas 19210000-1,360,"2013-12-18 PVM sąskaita faktūra Nr. ABI 11592 UAB ""Abina""","  3,500.00 Lt ",Medžiagos tautodailės pratyboms,"Parduotuvė ""Verpstė""; UAB ""Abina""; Parduotuvė ""Puodynkiemis"""
Antakalnio seniūnija,BVPŽ kodas 18530000-3,361,"2013-12-20 Sąskaitos Nr. 04RR00063264 UAB ""Senukų prekybos centras""","  3,467.51 Lt ",Suvenyrai šventiniams renginiams,"UAB ""Senukų prekybos centras"", UAB ""Alka dovanos"", UAB ""Alpera"""
Grigiškių seniūnija,16 paslaugų kategorija BVPŽ kodas 90512000-9,362,"2014-01-10 sutartis Nr. A64-1/14(3.10.22-FN4) Įkainis 33,50 Lt, suma 1206 Lt","  1,206.00 Lt ",Komunalinių atliekų išvežimas,"UAB ""Atliekų tvarkymo tarnyba"", UAB ""VSA Vilnius"", UAB ""Ecoservice"""
Antakalnio seniūnija,BVPŽ kodas 18222200-3,363,"PVM sąskaita-faktūra Nr. GRA08062 UAB ""Grajer""","  2,993.00 Lt ",Sceniniai ansamblio rūbai,"UAB ""Starteksas""' UAB ""Alfergija""; UAB ""Efirė""; UAB ""Grajer"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,364,2013-12-16 PVM sąskaita faktūra Nr. EVS1066,"  2,150.00 Lt ",Konfliktai ir stresas,"UAB ""EVS group"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,365,2013-12-20 Sąskaita-faktūra Nr. PVC2400596,"  4,680.00 Lt ",Šeimos įvertinimo ir intervencijos įgūdžių tobulinimas,VšĮ Paramos vaikams centras
